# Header information on force file

CH3-CO
N 2000  R        0.006000       12.000000

    1      0.00600000    129.69954600     92.52706300
    2      0.01200000    129.33387000     92.35306300
    3      0.01800000    128.96819500     92.17906200
    4      0.02400000    128.60251900     92.00506200
    5      0.03000000    128.23684400     91.83106100
    6      0.03600000    127.87116900     91.65706000
    7      0.04200000    127.50549300     91.48306000
    8      0.04800000    127.13981800     91.30905900
    9      0.05400000    126.77414200     91.13505900
   10      0.06000000    126.40846700     90.96105800
   11      0.06600000    126.04279200     90.78705700
   12      0.07200000    125.67711600     90.61305700
   13      0.07800000    125.31144100     90.43905600
   14      0.08400000    124.94576500     90.26505600
   15      0.09000000    124.58009000     90.09105500
   16      0.09600000    124.21441500     89.91705400
   17      0.10200000    123.84873900     89.74305400
   18      0.10800000    123.48306400     89.56905300
   19      0.11400000    123.11738800     89.39505300
   20      0.12000000    122.75171300     89.22105200
   21      0.12600000    122.38603800     89.04705100
   22      0.13200000    122.02036200     88.87305100
   23      0.13800000    121.65468700     88.69905000
   24      0.14400000    121.28901100     88.52505000
   25      0.15000000    120.92333600     88.35104900
   26      0.15600000    120.55766100     88.17704800
   27      0.16200000    120.19198500     88.00304800
   28      0.16800000    119.82631000     87.82904700
   29      0.17400000    119.46063400     87.65504700
   30      0.18000000    119.09495900     87.48104600
   31      0.18600000    118.72928400     87.30704500
   32      0.19200000    118.36360800     87.13304500
   33      0.19800000    117.99793300     86.95904400
   34      0.20400000    117.63225700     86.78504400
   35      0.21000000    117.26658200     86.61104300
   36      0.21600000    116.90090700     86.43704200
   37      0.22200000    116.53523100     86.26304200
   38      0.22800000    116.16955600     86.08904100
   39      0.23400000    115.80388000     85.91504100
   40      0.24000000    115.43820500     85.74104000
   41      0.24600000    115.07253000     85.56703900
   42      0.25200000    114.70685400     85.39303900
   43      0.25800000    114.34117900     85.21903800
   44      0.26400000    113.97550300     85.04503800
   45      0.27000000    113.60982800     84.87103700
   46      0.27600000    113.24415300     84.69703600
   47      0.28200000    112.87847700     84.52303600
   48      0.28800000    112.51280200     84.34903500
   49      0.29400000    112.14712600     84.17503500
   50      0.30000000    111.78145100     84.00103400
   51      0.30600000    111.41577600     83.82703300
   52      0.31200000    111.05010000     83.65303300
   53      0.31800000    110.68442500     83.47903200
   54      0.32400000    110.31874900     83.30503200
   55      0.33000000    109.95307400     83.13103100
   56      0.33600000    109.58739900     82.95703000
