# Header information on force file

CH3-CH3
N 2000  R        0.006000       12.000000

    1      0.00600000    126.77794700     72.08929900
    2      0.01200000    126.47015600     71.97474900
    3      0.01800000    126.16236500     71.86019800
    4      0.02400000    125.85457400     71.74564800
    5      0.03000000    125.54678300     71.63109800
    6      0.03600000    125.23899200     71.51654800
    7      0.04200000    124.93120100     71.40199800
    8      0.04800000    124.62341000     71.28744700
    9      0.05400000    124.31561900     71.17289700
   10      0.06000000    124.00782800     71.05834700
   11      0.06600000    123.70003700     70.94379700
   12      0.07200000    123.39224600     70.82924700
   13      0.07800000    123.08445500     70.71469600
   14      0.08400000    122.77666400     70.60014600
   15      0.09000000    122.46887300     70.48559600
   16      0.09600000    122.16108200     70.37104600
   17      0.10200000    121.85329100     70.25649600
   18      0.10800000    121.54550000     70.14194500
   19      0.11400000    121.23770900     70.02739500
   20      0.12000000    120.92991800     69.91284500
   21      0.12600000    120.62212700     69.79829500
   22      0.13200000    120.31433600     69.68374500
   23      0.13800000    120.00654500     69.56919400
   24      0.14400000    119.69875400     69.45464400
   25      0.15000000    119.39096300     69.34009400
   26      0.15600000    119.08317200     69.22554400
   27      0.16200000    118.77538100     69.11099400
   28      0.16800000    118.46759000     68.99644300
   29      0.17400000    118.15979900     68.88189300
   30      0.18000000    117.85200800     68.76734300
   31      0.18600000    117.54421700     68.65279300
   32      0.19200000    117.23642600     68.53824300
   33      0.19800000    116.92863500     68.42369200
   34      0.20400000    116.62084400     68.30914200
   35      0.21000000    116.31305300     68.19459200
   36      0.21600000    116.00526200     68.08004200
   37      0.22200000    115.69747100     67.96549200
   38      0.22800000    115.38968000     67.85094100
   39      0.23400000    115.08188900     67.73639100
   40      0.24000000    114.77409800     67.62184100
   41      0.24600000    114.46630700     67.50729100
   42      0.25200000    114.15851600     67.39274100
   43      0.25800000    113.85072500     67.27819000
   44      0.26400000    113.54293400     67.16364000
   45      0.27000000    113.23514300     67.04909000
   46      0.27600000    112.92735200     66.93454000
   47      0.28200000    112.61956100     66.81999000
   48      0.28800000    112.31177000     66.70543900
   49      0.29400000    112.00397900     66.59088900
   50      0.30000000    111.69618800     66.47633900
   51      0.30600000    111.38839700     66.36178900
   52      0.31200000    111.08060600     66.24723900
   53      0.31800000    110.77281500     66.13268800
   54      0.32400000    110.46502400     66.01813800
   55      0.33000000    110.15723300     65.90358800
   56      0.33600000    109.84944200     65.78903800
   57      0.34200000    109.54165100     65.67448800
   58      0.34800000    109.23386000     65.55993700
   59      0.35400000    108.92606900     65.44538700
   60      0.36000000    108.61827800     65.33083700
   61      0.36600000    108.31048700     65.21628700
   62      0.37200000    108.00269600     65.10173700
   63      0.37800000    107.69490500     64.98718600
   64      0.38400000    107.38711400     64.87263600
   65      0.39000000    107.07932300     64.75808600
   66      0.39600000    106.77153200     64.64353600
   67      0.40200000    106.46374100     64.52898600
   68      0.40800000    106.15595000     64.41443500
   69      0.41400000    105.84815900     64.29988500
   70      0.42000000    105.54036800     64.18533500
   71      0.42600000    105.23257700     64.07078500
   72      0.43200000    104.92478600     63.95623500
   73      0.43800000    104.61699500     63.84168400
   74      0.44400000    104.30920400     63.72713400
   75      0.45000000    104.00141300     63.61258400
   76      0.45600000    103.69362200     63.49803400
   77      0.46200000    103.38583100     63.38348400
   78      0.46800000    103.07804000     63.26893300
   79      0.47400000    102.77024900     63.15438300
   80      0.48000000    102.46245800     63.03983300
   81      0.48600000    102.15466700     62.92528300
   82      0.49200000    101.84687600     62.81073300
   83      0.49800000    101.53908500     62.69618200
   84      0.50400000    101.23129400     62.58163200
   85      0.51000000    100.92350300     62.46708200
   86      0.51600000    100.61571200     62.35253200
   87      0.52200000    100.30792100     62.23798200
   88      0.52800000    100.00013000     62.12343100
   89      0.53400000     99.69233900     62.00888100
   90      0.54000000     99.38454800     61.89433100
   91      0.54600000     99.07675700     61.77978100
   92      0.55200000     98.76896600     61.66523100
   93      0.55800000     98.46117500     61.55068000
   94      0.56400000     98.15338400     61.43613000
   95      0.57000000     97.84559300     61.32158000
   96      0.57600000     97.53780200     61.20703000
   97      0.58200000     97.23001100     61.09248000
   98      0.58800000     96.92222000     60.97792900
   99      0.59400000     96.61442900     60.86337900
  100      0.60000000     96.30663800     60.74882900
  101      0.60600000     95.99884700     60.63427900
  102      0.61200000     95.69105600     60.51972900
  103      0.61800000     95.38326500     60.40517800
  104      0.62400000     95.07547400     60.29062800
  105      0.63000000     94.76768300     60.17607800
  106      0.63600000     94.45989200     60.06152800
  107      0.64200000     94.15210100     59.94697800
  108      0.64800000     93.84431000     59.83242700
  109      0.65400000     93.53651900     59.71787700
  110      0.66000000     93.22872800     59.60332700
  111      0.66600000     92.92093700     59.48877700
  112      0.67200000     92.61314600     59.37422700
  113      0.67800000     92.30535500     59.25967600
  114      0.68400000     91.99756400     59.14512600
  115      0.69000000     91.68977300     59.03057600
  116      0.69600000     91.38198200     58.91602600
  117      0.70200000     91.07419100     58.80147600
  118      0.70800000     90.76640000     58.68692500
  119      0.71400000     90.45860900     58.57237500
  120      0.72000000     90.15081800     58.45782500
  121      0.72600000     89.84302700     58.34327500
  122      0.73200000     89.53523600     58.22872500
  123      0.73800000     89.22744500     58.11417400
  124      0.74400000     88.91965400     57.99962400
  125      0.75000000     88.61186300     57.88507400
  126      0.75600000     88.30407200     57.77052400
  127      0.76200000     87.99628100     57.65597400
  128      0.76800000     87.68849000     57.54142300
  129      0.77400000     87.38069900     57.42687300
  130      0.78000000     87.07290800     57.31232300
  131      0.78600000     86.76511700     57.19777300
  132      0.79200000     86.45732600     57.08322300
  133      0.79800000     86.14953500     56.96867200
  134      0.80400000     85.84174400     56.85412200
  135      0.81000000     85.53395300     56.73957200
  136      0.81600000     85.22616200     56.62502200
  137      0.82200000     84.91837100     56.51047200
  138      0.82800000     84.61058000     56.39592100
  139      0.83400000     84.30278900     56.28137100
  140      0.84000000     83.99499800     56.16682100
  141      0.84600000     83.68720700     56.05227100
  142      0.85200000     83.37941600     55.93772100
  143      0.85800000     83.07162500     55.82317000
  144      0.86400000     82.76383400     55.70862000
  145      0.87000000     82.45604300     55.59407000
  146      0.87600000     82.14825200     55.47952000
  147      0.88200000     81.84046100     55.36497000
  148      0.88800000     81.53267000     55.25041900
  149      0.89400000     81.22487900     55.13586900
  150      0.90000000     80.91708800     55.02131900
  151      0.90600000     80.60929700     54.90676900
  152      0.91200000     80.30150600     54.79221900
  153      0.91800000     79.99371500     54.67766800
  154      0.92400000     79.68592400     54.56311800
  155      0.93000000     79.37813300     54.44856800
  156      0.93600000     79.07034200     54.33401800
  157      0.94200000     78.76255100     54.21946800
  158      0.94800000     78.45476000     54.10491700
  159      0.95400000     78.14696900     53.99036700
  160      0.96000000     77.83917800     53.87581700
  161      0.96600000     77.53138700     53.76126700
  162      0.97200000     77.22359600     53.64671700
  163      0.97800000     76.91580500     53.53216600
  164      0.98400000     76.60801400     53.41761600
  165      0.99000000     76.30022300     53.30306600
