# Header information on force file

CO-CO
N 2000  R        0.006000       12.000000

    1      0.00600000    133.84198800     97.79554300
    2      0.01200000    133.46417200     97.60366300
    3      0.01800000    133.08635700     97.41178300
    4      0.02400000    132.70854100     97.21990300
    5      0.03000000    132.33072500     97.02802300
    6      0.03600000    131.95290900     96.83614300
    7      0.04200000    131.57509300     96.64426300
    8      0.04800000    131.19727800     96.45238300
    9      0.05400000    130.81946200     96.26050300
   10      0.06000000    130.44164600     96.06862300
   11      0.06600000    130.06383000     95.87674300
   12      0.07200000    129.68601400     95.68486300
   13      0.07800000    129.30819900     95.49298300
   14      0.08400000    128.93038300     95.30110300
   15      0.09000000    128.55256700     95.10922300
   16      0.09600000    128.17475100     94.91734300
   17      0.10200000    127.79693500     94.72546300
   18      0.10800000    127.41912000     94.53358300
   19      0.11400000    127.04130400     94.34170300
   20      0.12000000    126.66348800     94.14982300
   21      0.12600000    126.28567200     93.95794300
   22      0.13200000    125.90785600     93.76606300
   23      0.13800000    125.53004100     93.57418300
   24      0.14400000    125.15222500     93.38230300
   25      0.15000000    124.77440900     93.19042300
   26      0.15600000    124.39659300     92.99854300
   27      0.16200000    124.01877700     92.80666300
   28      0.16800000    123.64096200     92.61478300
   29      0.17400000    123.26314600     92.42290300
   30      0.18000000    122.88533000     92.23102300
   31      0.18600000    122.50751400     92.03914300
   32      0.19200000    122.12969800     91.84726300
   33      0.19800000    121.75188300     91.65538300
   34      0.20400000    121.37406700     91.46350300
   35      0.21000000    120.99625100     91.27162300
   36      0.21600000    120.61843500     91.07974300
   37      0.22200000    120.24061900     90.88786300
   38      0.22800000    119.86280400     90.69598300
   39      0.23400000    119.48498800     90.50410300
   40      0.24000000    119.10717200     90.31222300
   41      0.24600000    118.72935600     90.12034300
   42      0.25200000    118.35154000     89.92846300
   43      0.25800000    117.97372500     89.73658300
   44      0.26400000    117.59590900     89.54470300
   45      0.27000000    117.21809300     89.35282300
   46      0.27600000    116.84027700     89.16094300
   47      0.28200000    116.46246100     88.96906300
   48      0.28800000    116.08464600     88.77718300
   49      0.29400000    115.70683000     88.58530300
   50      0.30000000    115.32901400     88.39342300
   51      0.30600000    114.95119800     88.20154300
   52      0.31200000    114.57338200     88.00966300
   53      0.31800000    114.19556700     87.81778300
   54      0.32400000    113.81775100     87.62590300
   55      0.33000000    113.43993500     87.43402300
   56      0.33600000    113.06211900     87.24214300
   57      0.34200000    112.68430300     87.05026300
   58      0.34800000    112.30648800     86.85838300
   59      0.35400000    111.92867200     86.66650300
   60      0.36000000    111.55085600     86.47462300
   61      0.36600000    111.17304000     86.28274300
   62      0.37200000    110.79522400     86.09086300
   63      0.37800000    110.41740900     85.89898300
   64      0.38400000    110.03959300     85.70710300
   65      0.39000000    109.66177700     85.51522300
   66      0.39600000    109.28396100     85.32334300
   67      0.40200000    108.90614500     85.13146300
   68      0.40800000    108.52833000     84.93958300
   69      0.41400000    108.15051400     84.74770300
   70      0.42000000    107.77269800     84.55582300
   71      0.42600000    107.39488200     84.36394300
   72      0.43200000    107.01706600     84.17206300
   73      0.43800000    106.63925100     83.98018300
   74      0.44400000    106.26143500     83.78830300
   75      0.45000000    105.88361900     83.59642300
   76      0.45600000    105.50580300     83.40454300
   77      0.46200000    105.12798700     83.21266300
   78      0.46800000    104.75017200     83.02078300
   79      0.47400000    104.37235600     82.82890300
   80      0.48000000    103.99454000     82.63702300
   81      0.48600000    103.61672400     82.44514300
   82      0.49200000    103.23890800     82.25326300
   83      0.49800000    102.86109300     82.06138300
   84      0.50400000    102.48327700     81.86950300
   85      0.51000000    102.10546100     81.67762300
   86      0.51600000    101.72764500     81.48574300
   87      0.52200000    101.34982900     81.29386300
   88      0.52800000    100.97201400     81.10198300
   89      0.53400000    100.59419800     80.91010300
   90      0.54000000    100.21638200     80.71822300
   91      0.54600000     99.83856600     80.52634300
   92      0.55200000     99.46075000     80.33446300
   93      0.55800000     99.08293500     80.14258300
   94      0.56400000     98.70511900     79.95070300
   95      0.57000000     98.32730300     79.75882300
   96      0.57600000     97.94948700     79.56694300
   97      0.58200000     97.57167100     79.37506300
   98      0.58800000     97.19385600     79.18318300
   99      0.59400000     96.81604000     78.99130300
  100      0.60000000     96.43822400     78.79942300
  101      0.60600000     96.06040800     78.60754300
  102      0.61200000     95.68259200     78.41566300
  103      0.61800000     95.30477700     78.22378300
  104      0.62400000     94.92696100     78.03190300
  105      0.63000000     94.54914500     77.84002300
  106      0.63600000     94.17132900     77.64814300
  107      0.64200000     93.79351300     77.45626300
  108      0.64800000     93.41569800     77.26438300
  109      0.65400000     93.03788200     77.07250300
  110      0.66000000     92.66006600     76.88062300
  111      0.66600000     92.28225000     76.68874300
  112      0.67200000     91.90443400     76.49686300
  113      0.67800000     91.52661900     76.30498300
  114      0.68400000     91.14880300     76.11310300
  115      0.69000000     90.77098700     75.92122300
  116      0.69600000     90.39317100     75.72934300
  117      0.70200000     90.01535500     75.53746300
  118      0.70800000     89.63754000     75.34558300
  119      0.71400000     89.25972400     75.15370300
  120      0.72000000     88.88190800     74.96182300
  121      0.72600000     88.50409200     74.76994300
  122      0.73200000     88.12627600     74.57806300
  123      0.73800000     87.74846100     74.38618300
  124      0.74400000     87.37064500     74.19430300
  125      0.75000000     86.99282900     74.00242300
  126      0.75600000     86.61501300     73.81054300
  127      0.76200000     86.23719700     73.61866300
  128      0.76800000     85.85938200     73.42678300
  129      0.77400000     85.48156600     73.23490300
  130      0.78000000     85.10375000     73.04302300
  131      0.78600000     84.72593400     72.85114300
  132      0.79200000     84.34811800     72.65926300
  133      0.79800000     83.97030300     72.46738300
  134      0.80400000     83.59248700     72.27550300
  135      0.81000000     83.21467100     72.08362300
  136      0.81600000     82.83685500     71.89174300
  137      0.82200000     82.45903900     71.69986300
  138      0.82800000     82.08122400     71.50798300
  139      0.83400000     81.70340800     71.31610300
  140      0.84000000     81.32559200     71.12422300
  141      0.84600000     80.94777600     70.93234300
  142      0.85200000     80.56996000     70.74046300
  143      0.85800000     80.19214500     70.54858300
  144      0.86400000     79.81432900     70.35670300
  145      0.87000000     79.43651300     70.16482300
  146      0.87600000     79.05869700     69.97294300
  147      0.88200000     78.68088100     69.78106300
  148      0.88800000     78.30306600     69.58918300
  149      0.89400000     77.92525000     69.39730300
  150      0.90000000     77.54743400     69.20542300
  151      0.90600000     77.16961800     69.01354300
  152      0.91200000     76.79180200     68.82166300
  153      0.91800000     76.41398700     68.62978300
  154      0.92400000     76.03617100     68.43790300
  155      0.93000000     75.65835500     68.24602300
  156      0.93600000     75.28053900     68.05414300
  157      0.94200000     74.90272300     67.86226300
  158      0.94800000     74.52490800     67.67038300
  159      0.95400000     74.14709200     67.47850300
  160      0.96000000     73.76927600     67.28662300
  161      0.96600000     73.39146000     67.09474300
  162      0.97200000     73.01364400     66.90286300
  163      0.97800000     72.63582900     66.71098300
  164      0.98400000     72.25801300     66.51910300
  165      0.99000000     71.88019700     66.32722300
  166      0.99600000     71.50238100     66.13534300
  167      1.00200000     71.12456500     65.94346300
  168      1.00800000     70.74675000     65.75158300
  169      1.01400000     70.36893400     65.55970300
  170      1.02000000     69.99111800     65.36782300
  171      1.02600000     69.61330200     65.17594300
  172      1.03200000     69.23548600     64.98406300
  173      1.03800000     68.85767100     64.79218300
  174      1.04400000     68.47985500     64.60030300
  175      1.05000000     68.10203900     64.40842300
  176      1.05600000     67.72422300     64.21654300
  177      1.06200000     67.34640700     64.02466300
  178      1.06800000     66.96859200     63.83278300
  179      1.07400000     66.59077600     63.64090300
  180      1.08000000     66.21296000     63.44902300
  181      1.08600000     65.83514400     63.25714300
  182      1.09200000     65.45732800     63.06526300
  183      1.09800000     65.07951300     62.87338300
  184      1.10400000     64.70297600     62.68150300
  185      1.11000000     64.32707900     62.48962300
  186      1.11600000     63.95310100     62.29774300
  187      1.12200000     63.57976200     62.10586300
  188      1.12800000     63.20770200     61.91398300
  189      1.13400000     62.83692200     61.72210300
  190      1.14000000     62.46678100     61.53022300
  191      1.14600000     62.09855900     61.33834300
  192      1.15200000     61.73097700     61.14646300
  193      1.15800000     61.36467400     60.95458300
  194      1.16400000     60.99965000     60.76270300
  195      1.17000000     60.63526600     60.57082300
  196      1.17600000     60.27280000     60.37894300
  197      1.18200000     59.91097400     60.18706300
  198      1.18800000     59.55042700     59.99518300
  199      1.19400000     59.19116000     59.80330300
  200      1.20000000     58.83253200     59.61142300
  201      1.20600000     58.47582300     59.41954300
  202      1.21200000     58.11975300     59.22766300
  203      1.21800000     57.76496300     59.03578300
  204      1.22400000     57.41145100     58.84390300
  205      1.23000000     57.05858000     58.65202300
  206      1.23600000     56.70762700     58.46014200
  207      1.24200000     56.35731400     58.26826200
  208      1.24800000     56.00828100     58.07638200
  209      1.25400000     55.66052600     57.88450200
  210      1.26000000     55.31341000     57.69262200
  211      1.26600000     54.96821400     57.50074200
  212      1.27200000     54.62365700     57.30886200
  213      1.27800000     54.28038000     57.11698200
  214      1.28400000     53.93838200     56.92510200
  215      1.29000000     53.59702300     56.73322200
  216      1.29600000     53.25758300     56.54134200
  217      1.30200000     52.91878300     56.34946200
  218      1.30800000     52.58126100     56.15758200
  219      1.31400000     52.24501900     55.96570200
  220      1.32000000     51.90941700     55.77382200
  221      1.32600000     51.57573400     55.58194200
  222      1.33200000     51.24269000     55.39006200
  223      1.33800000     50.91092500     55.19818200
  224      1.34400000     50.58043900     55.00630200
  225      1.35000000     50.25059300     54.81442200
  226      1.35600000     49.92266600     54.62254200
  227      1.36200000     49.59537900     54.43066200
  228      1.36800000     49.26937000     54.23878200
  229      1.37400000     48.94464100     54.04690200
  230      1.38000000     48.62055200     53.85502200
  231      1.38600000     48.29838100     53.66314200
  232      1.39200000     47.97685000     53.47126200
  233      1.39800000     47.65659800     53.27938200
  234      1.40400000     47.33762500     53.08750200
  235      1.41000000     47.01929200     52.89562200
  236      1.41600000     46.70287800     52.70374200
  237      1.42200000     46.38710300     52.51186200
  238      1.42800000     46.07260800     52.31998100
  239      1.43400000     45.75939200     52.12810100
  240      1.44000000     45.44681500     51.93622100
  241      1.44600000     45.13615700     51.74434100
  242      1.45200000     44.82613800     51.55246100
  243      1.45800000     44.51739900     51.36058100
  244      1.46400000     44.20993900     51.16870100
  245      1.47000000     43.90311900     50.97682100
  246      1.47600000     43.59821800     50.78494100
  247      1.48200000     43.29395600     50.59306100
  248      1.48800000     42.99097200     50.40118100
  249      1.49400000     42.68926900     50.20930100
  250      1.50000000     42.38820500     50.01742100
  251      1.50600000     42.08906000     49.82554100
  252      1.51200000     41.79055500     49.63366100
  253      1.51800000     41.49332800     49.44178100
  254      1.52400000     41.19738100     49.24990100
  255      1.53000000     40.90207400     49.05802100
  256      1.53600000     40.60868500     48.86614100
  257      1.54200000     40.31593500     48.67426100
  258      1.54800000     40.02446600     48.48238100
  259      1.55400000     39.73427500     48.29050100
  260      1.56000000     39.44472400     48.09862100
  261      1.56600000     39.15709200     47.90674100
  262      1.57200000     38.87009900     47.71486100
  263      1.57800000     38.58438600     47.52298100
  264      1.58400000     38.29995100     47.33110100
  265      1.59000000     38.01615600     47.13922100
  266      1.59600000     37.73428000     46.94734100
  267      1.60200000     37.45304400     46.75546100
  268      1.60800000     37.17308700     46.56358100
  269      1.61400000     36.89440900     46.37170100
  270      1.62000000     36.61637100     46.17982100
  271      1.62600000     36.34025200     45.98794000
  272      1.63200000     36.06477200     45.79606000
  273      1.63800000     35.79057000     45.60418000
  274      1.64400000     35.51764900     45.41230000
  275      1.65000000     35.24536700     45.22042000
  276      1.65600000     34.97500400     45.02854000
  277      1.66200000     34.70528100     44.83666000
  278      1.66800000     34.43683600     44.64478000
  279      1.67400000     34.16967100     44.45290000
  280      1.68000000     33.90314600     44.26102000
  281      1.68600000     33.63853900     44.06914000
  282      1.69200000     33.37457100     43.87726000
  283      1.69800000     33.11188400     43.68538000
  284      1.70400000     32.85047500     43.49350000
  285      1.71000000     32.58970600     43.30162000
  286      1.71600000     32.33085600     43.10974000
  287      1.72200000     32.07264500     42.91786000
  288      1.72800000     31.81571400     42.72598000
  289      1.73400000     31.56006100     42.53410000
  290      1.74000000     31.30504800     42.34222000
  291      1.74600000     31.05195400     42.15034000
  292      1.75200000     30.79950000     41.95846000
  293      1.75800000     30.54832500     41.76658000
  294      1.76400000     30.29842900     41.57470000
  295      1.77000000     30.04917300     41.38282000
  296      1.77600000     29.80183600     41.19094000
  297      1.78200000     29.55513800     40.99906000
  298      1.78800000     29.30971800     40.80718000
  299      1.79400000     29.06557900     40.61530000
  300      1.80000000     28.82207900     40.42342000
  301      1.80600000     28.58049800     40.23154000
  302      1.81200000     28.33955700     40.03966000
  303      1.81800000     28.09989400     39.84778000
  304      1.82400000     27.86151100     39.65590000
  305      1.83000000     27.62376800     39.46401900
  306      1.83600000     27.38794300     39.27213900
  307      1.84200000     27.15275700     39.08025900
  308      1.84800000     26.91885200     38.88837900
  309      1.85400000     26.68622500     38.69649900
  310      1.86000000     26.45423800     38.50461900
  311      1.86600000     26.22417000     38.31273900
  312      1.87200000     25.99474100     38.12085900
  313      1.87800000     25.76659200     37.92897900
  314      1.88400000     25.53972100     37.73709900
  315      1.89000000     25.31349000     37.54521900
  316      1.89600000     25.08917800     37.35333900
  317      1.90200000     24.86550600     37.16145900
  318      1.90800000     24.64311300     36.96957900
  319      1.91400000     24.42199900     36.77769900
  320      1.92000000     24.20152500     36.58581900
  321      1.92600000     23.98297000     36.39393900
  322      1.93200000     23.76505400     36.20205900
  323      1.93800000     23.54841600     36.01017900
  324      1.94400000     23.33305900     35.81829900
  325      1.95000000     23.11834100     35.62641900
  326      1.95600000     22.90554200     35.43453900
  327      1.96200000     22.69338300     35.24265900
  328      1.96800000     22.48250200     35.05077900
  329      1.97400000     22.27290100     34.85889900
  330      1.98000000     22.06394000     34.66701900
  331      1.98600000     21.85689700     34.47513900
  332      1.99200000     21.65049400     34.28325900
  333      1.99800000     21.44537000     34.09137900
  334      2.00400000     21.24152500     33.89949900
  335      2.01000000     21.03832000     33.70761900
  336      2.01600000     20.83703400     33.51573900
  337      2.02200000     20.63638700     33.32385900
  338      2.02800000     20.43702000     33.13197800
  339      2.03400000     20.23893200     32.94009800
  340      2.04000000     20.04148300     32.74821800
  341      2.04600000     19.84595300     32.55633800
  342      2.05200000     19.65106200     32.36445800
  343      2.05800000     19.45745100     32.17257800
  344      2.06400000     19.26511900     31.98069800
  345      2.07000000     19.07342700     31.78881800
  346      2.07600000     18.88365400     31.59693800
  347      2.08200000     18.69452000     31.40505800
  348      2.08800000     18.50666500     31.21317800
  349      2.09400000     18.32008900     31.02129800
  350      2.10000000     18.13415300     30.82941800
  351      2.10600000     17.95013600     30.63753800
  352      2.11200000     17.76675900     30.44565800
  353      2.11800000     17.58466000     30.25377800
  354      2.12400000     17.40384100     30.06189800
  355      2.13000000     17.22366200     29.87001800
  356      2.13600000     17.04540100     29.67813800
  357      2.14200000     16.86778000     29.48625800
  358      2.14800000     16.69143900     29.29437800
  359      2.15400000     16.51637600     29.10249800
  360      2.16000000     16.34195200     28.91061800
  361      2.16600000     16.16944800     28.71873800
  362      2.17200000     15.99758300     28.52685800
  363      2.17800000     15.82699800     28.33497800
  364      2.18400000     15.65769200     28.14309800
  365      2.19000000     15.48902500     27.95121800
  366      2.19600000     15.32227700     27.75933800
  367      2.20200000     15.15616900     27.56745800
  368      2.20800000     14.99134000     27.37557800
  369      2.21400000     14.82779000     27.18369800
  370      2.22000000     14.66487900     26.99181800
  371      2.22600000     14.50388800     26.79993700
  372      2.23200000     14.34353600     26.60805700
  373      2.23800000     14.18446300     26.41617700
  374      2.24400000     14.02667000     26.22429700
  375      2.25000000     13.86951600     26.03241700
  376      2.25600000     13.71428100     25.84053700
  377      2.26200000     13.55968500     25.64865700
  378      2.26800000     13.40636900     25.45677700
  379      2.27400000     13.25433100     25.26489700
  380      2.28000000     13.10293400     25.07301700
  381      2.28600000     12.95345500     24.88113700
  382      2.29200000     12.80461600     24.68925700
  383      2.29800000     12.65705700     24.49737700
  384      2.30400000     12.51077600     24.30549700
  385      2.31000000     12.36513500     24.11361700
  386      2.31600000     12.22141300     23.92173700
  387      2.32200000     12.07833000     23.72985700
  388      2.32800000     11.93652600     23.53797700
